episode,total_return,months,annualized_return,benchmark_return,annualized_benchmark_return,benchmark_sharpe_ratio,benchmark_sortino_ratio,benchmark_max_drawdown,benchmark_volatility,volatility,sharpe_ratio,num_trades,max_drawdown,sortino_ratio,final_portfolio_value,final_cash,final_long_shares,final_short_shares,avg_l_action,min_l_action,max_l_action,action_l_std,avg_s_action,min_s_action,max_s_action,action_s_std
1,0.18337586914987467,6,0.4003784476862211,0.8894511,2.5700254083559493,0.23957618053243734,0.4992046411677975,0.06834615,0.02068209,0.007394143180219098,0.14193716607488466,43.0,0.0037457766447735034,1.7936055064285816,2366751.7382997493,2366751.7382997493,0.0,0.0,0.14802113,0.0,1.0,0.31880155,0.009551333,0.0,0.29726437,0.044159785
2,0.3978249540071385,6,0.9539146020450591,0.6917521,1.8620250871544073,0.10973217873099757,0.16365941517723778,0.3755403,0.04423429,0.009796950638538799,0.2444679427500116,45.0,0.03482728109839389,0.6012252588745794,2795649.908014277,2795649.908014277,0.0,0.0,0.2650565,0.0,1.0,0.4104332,0.028678222,0.0,1.0,0.13165382
3,0.2638916692920041,6,0.5974221517057288,-0.33297166,-0.5550731966824207,-0.06443976696242461,-0.07856556146495422,0.56038445,0.04105927,0.011035415488215272,0.14550751757844166,56.0,0.08251241316240514,0.3309635873833399,2527783.338584008,2527783.338584008,0.0,0.0,0.24305785,0.0,1.0,0.39816412,0.020123307,0.0,1.0,0.10903871
4,0.1321216581894015,6,0.2816994489415203,0.13785283,0.2947090688264764,0.039725130733252234,0.05592964638657153,0.16962335,0.02744566,0.007251544928177445,0.09623841763614402,55.0,0.04788848058279825,0.14405699710941258,2264243.316378803,2264243.316378803,0.0,0.0,0.19246924,0.0,1.0,0.35535693,0.01270949,0.0,0.29480222,0.04889198
5,0.3878600964054973,6,0.9261556471946761,0.69021386,1.8568228894303935,0.11130594369776574,0.1660995821473174,0.3755403,0.0430938,0.009360289719524373,0.24934781122215663,56.0,0.0341882798567965,0.6487868788376844,2775720.1928109946,2775720.1928109946,0.0,0.0,0.26831496,0.0,1.0,0.41029388,0.040965896,0.0,1.0,0.15481053
6,0.1713291549552637,6,0.3720119892482123,0.10009332,0.21020531273522836,0.030195900328675248,0.046229226980062064,0.2688864,0.024814762,0.0061574976885299245,0.15601128100784795,50.0,0.01570681239458098,0.4783499823617577,2342658.3099105274,2342658.3099105274,0.0,0.0,0.17144223,0.0,1.0,0.3244693,0.0056305793,0.0,0.62521374,0.055623718
7,0.2993499630742751,6,0.6883103265411201,0.55411834,1.4152837999510304,0.11446677336668956,0.24739962734566057,0.16887093,0.032085385,0.011917440991783611,0.15383168934966984,50.0,0.019693221137030398,0.9119534655278249,2598699.92614855,2598699.92614855,0.0,0.0,0.18416503,0.0,1.0,0.36019072,0.012119343,0.0,0.28915194,0.04922094
8,0.24630048949538147,6,0.5532649101164275,0.37134302,0.8805816692446484,0.10196978221535974,0.17593959126675965,0.25118786,0.024364738,0.007700086970148927,0.19010095763110185,46.0,0.004682647236004938,1.9614208098055612,2492600.978990763,2492600.978990763,0.0,0.0,0.16454794,0.0,1.0,0.33461368,0.013510679,0.0,0.95844316,0.090127096
9,0.26576015992767293,6,0.6021487824601279,0.4877999,1.2135485802036934,0.12074680144466007,0.18592954149394586,0.24376649,0.026451811,0.0057157753826574745,0.27544988079889127,52.0,0.005923129939522257,1.5379289680269135,2531520.319855346,1531520.3198553459,52172.242995071734,0.0,0.24373789,0.0,1.0,0.399269,0.0069205575,0.0,0.28384593,0.03619823
10,0.29383336111350755,6,0.674004766330276,-0.27132884,-0.4690383357450889,-0.04554495630754672,-0.06406748528297695,0.49308798,0.042349897,0.009533348586736486,0.1864521126386163,58.0,0.045935224086941215,0.4715065096229348,2587666.722227015,2587666.722227015,0.0,0.0,0.2518138,0.0,1.0,0.4033576,0.02100793,0.0,0.67698884,0.09630018
AVERAGE,0.2641647375610017,6,0.6049311072269369,0.33183238,0.9279090283474314,0.07577339677798661,0.13977582252174212,0.29752344,0.032658167,0.00858624935745314,0.18393447766877657,51.1,0.02951032661392471,0.8879797963978591,2528329.4751220034,2428329.4751220034,5217.224299507174,0.0,0.21326265,0.0,1.0,0.371495,0.017121734,0.0,0.642571,0.0816025
